Metric Name (CN),English Name,English Abbreviation,Category,Lower Bound,Upper Bound,Unit,Professional Interpretation,Recommendations,Applicable Scope,Health Interpretation,Aliases
Thyroid-stimulating hormone,Thyroid-stimulating hormone,TSH,Thyroid Function,0.27,4.2,nmol/L,Thyroid-stimulating hormone (TSH) is a hormone secreted by the adenohypophysis. The secretion of TSH by the adenohypophysis is influenced on one hand by the stimulatory effect of thyrotropin-releasing hormone (TRH) secreted by the hypothalamus, and on the other hand by the feedback inhibitory effect of thyroid hormones. The two are antagonistic to each other, and they form the hypothalamus-adenohypophysis-thyroid axis.,"TSH is one of the hormones secreted by the anterior pituitary, and its main function is to control and regulate thyroid activity. Measurement of thyroid-stimulating hormone in serum (plasma) is one of the important indicators for diagnosing and treating hyperthyroidism and hypothyroidism, as well as studying the hypothalamus-pituitary-thyroid axis. It is an indispensable tool for diagnosing hypothyroidism and differential diagnosis of primary and secondary (hypothalamic or pituitary) hypothyroidism. When treating hyperthyroidism and hypothyroidism, TSH can be used as an indicator of treatment efficacy. In addition, it can be used to observe the reserve function of pituitary TSH and further distinguish between hypothalamic and pituitary lesions. TSH testing is an initial screening test for thyroid function. Small changes in free thyroid concentration will bring about significant adjustments in TSH concentration in the opposite direction.",
1. Elevated serum TSH: Commonly seen in primary hypothyroidism, TSH-secreting tumors, iodine-deficient endemic goiter, thyroid hormone resistance syndrome, etc.,,,,,,,
2. Decreased serum TSH: Commonly seen in primary hyperthyroidism, TSH gene mutations, various pituitary diseases (such as pituitary adenoma, pituitary inflammation, pituitary hemorrhagic or injury diseases, etc.) affecting TSH cell function, damage phases of various thyroiditis," and clinical use of large doses of glucocorticoids""",Adults,,,
Prostate-specific antigen total,Prostate-specific antigen total,tPSA,Tumor Marker,0,4,ng/ml,Prostate-specific antigen (PSA) is produced by prostate epithelial cells and belongs to the kallikrein family of proteins. It exists in prostate tissue and semen, with very low levels in normal human serum. Prostate-specific antigen in serum mainly exists in three forms: ① Free prostate-specific antigen (fPSA), accounting for 10% to 30% of total prostate-specific antigen (tPSA); ② Complex formed by prostate-specific antigen binding with α1-antichymotrypsin (PSA-ACT); ③ Complex formed by prostate-specific antigen binding with α2-macroglobulin (PSA-α2M). The latter two are also called complex prostate-specific antigen (cPSA). The main physiological function of prostate-specific antigen is to prevent semen coagulation," and it has extremely high tissue and organ specificity, making it the preferred marker for diagnosing prostate cancer.,If serum tPSA and fPSA are elevated while fPSA/tPSA is decreased, prostate cancer should be considered for diagnosis to improve diagnostic specificity and accuracy. Prostatitis, prostatic hypertrophy, nephritis, prostate polyps, and diseases of the genitourinary system can also show mild elevation of serum tPSA and fPSA. When using tPSA or fPSA alone to diagnose prostate cancer, the influence of benign prostate diseases cannot be excluded.,Adults,",
Prostate-specific antigen,Prostate-specific antigen,PSA,Tumor Marker,0,4,ng/ml,PSA is a protease secreted by prostate epithelial cells, with very low levels in the blood. Its elevation may be related to prostate cancer, acute prostatitis," chronic prostatitis, or prostate hyperplasia. Elevated serum PSA in patients with acute prostatitis is related to inflammation destroying the epithelial barrier and increased vascular permeability, and antibiotic treatment can mostly restore it to normal. The effect of chronic prostatitis on PSA is controversial, with only some patients showing elevation and inconsistent changes after treatment. When prostate hyperplasia is combined with inflammation, anti-inflammatory treatment can improve PSA diagnostic specificity.,For patients with prostate hyperplasia with serum PSA >4.0ng/ml and combined chronic prostatitis, anti-inflammatory treatment can improve the specificity of PSA for early prostate cancer diagnosis. Men under 55 and over 70 years old are not recommended to use PSA for cancer screening. Men aged 55 to 69 at high risk for prostate cancer should carefully discuss the pros and cons with their doctor before proceeding.,Mainly used for prostate cancer screening, can also be used for auxiliary diagnosis of prostatitis.,Elevated PSA may be a sign of prostate cancer, but it may also be caused by prostate aging, hypertrophy, or inflammation. Most prostate cancer patients have slow-growing tumors, and patients are more likely to die from other conditions before prostate tumors show symptoms. Prostate cancer is the most commonly diagnosed non-skin cancer in men, and most prostate cancer patients have a good prognosis, with a 10-year survival rate of 95%.",
Monocytes,Monocytes,MONO,Blood Routine,0.03,0.08,%,Monocytes are the largest blood cells in the blood and the largest white blood cells by volume, and are an important component of the body's defense system. Monocytes originate from hematopoietic stem cells in the bone marrow and develop in the bone marrow. When they enter the blood from the bone marrow, they are still immature cells. Monocytes also participate in immune responses," transferring the antigenic determinants they carry to lymphocytes after phagocytizing antigens, inducing specific immune responses in lymphocytes. Monocytes are also the main cellular defense system against intracellular pathogenic bacteria and parasites, and have the ability to recognize and kill tumor cells. Compared with other blood cells, monocytes contain more non-specific esterases and have stronger phagocytic effects. When inflammation or other diseases occur in the body, they can cause changes in the total percentage of monocytes, so checking monocyte count has become an important method for auxiliary diagnosis.,When monocyte counts are abnormal, further examination is recommended to determine the cause.,Applicable for blood tests, auxiliary diagnosis of infections, blood diseases, etc.,Changes in monocyte counts have both physiological and pathological factors. Physiological increases are more common in infants and children; pathological increases are more common in certain infections (such as typhoid, tuberculosis, malaria, etc.), certain blood diseases (such as monocytic leukemia, lymphoma, Hodgkin's disease, etc.), and acute infectious diseases or recovery periods of acute infections. Decreased monocytes have no clinical significance because monocytes themselves are present in very small amounts in the human body.",
Monocyte percentage,Monocyte percentage,MONO%,Blood Routine,3,8,%,Monocyte percentage is an indicator in routine blood tests, referring to the proportion of monocytes in the total white blood cell count, with a normal range usually of 3%-8%. It reflects the state of the immune system," and abnormalities may indicate infection, inflammation, blood diseases, or autoimmune diseases, requiring comprehensive judgment in combination with other indicators.,Do not view the value in isolation: Need to combine with total white blood cell count, lymphocyte/neutrophil ratio, and symptoms for judgment. For example: 1.",
Elevated monocyte percentage + normal total white blood cell count: May be chronic infection.,,,,,,,,,,,
Decreased monocyte percentage + decreased platelets: Need to investigate bone marrow diseases.,,,,,,,,,,,
Dynamic observation: Minor abnormalities may have no pathological significance, need to recheck after 1-2 weeks. 2.,,,,,,,,,,
