指标名,英文名,英文简称,类别,左边界,右边界,单位,专业解读,建议,适用范围,健康解读
前列腺特异性抗原,Prostate-specific antigen,PSA,肿瘤标志物,0,4,ng/ml,PSA是由前列腺上皮细胞分泌的蛋白酶，血液中含量极低。其升高可能与前列腺癌、急性前列腺炎、慢性前列腺炎或前列腺增生有关。急性前列腺炎患者血清PSA升高与炎症破坏上皮屏障、血管通透性增加有关，抗生素治疗多可使其恢复正常。慢性前列腺炎对PSA的影响存在争议，仅部分患者出现升高且治疗后变化不一致。前列腺增生合并炎症时，抗炎治疗可提升PSA诊断特异性。,对于血清PSA＞4.0ng/ml且合并慢性前列腺炎的前列腺增生患者采取抗炎治疗，可以提高PSA对早期前列腺癌诊断的特异性。55岁以下及70岁以上的男性，不建议使用PSA进行癌症筛查。55岁至69岁的前列腺癌高风险男性，应与医生详细讨论利弊后慎重行事。,主要用于前列腺癌的筛查，也可用于前列腺炎的辅助诊断。,PSA升高可能是前列腺癌的征兆，但也有可能由前列腺老化肥大或发炎引起。大多数前列腺癌患者的肿瘤生长缓慢，病人更可能在前列腺肿瘤出现症状前死于其他病情。前列腺癌是男性最常诊断出的非皮肤癌症，多数前列腺癌患者预后良好，10年存活率达到95%。
单核细胞,Monocytes,MONO,血常规,0.03,0.08,%,单核细胞是血液中最大的血细胞，也是体积最大的白细胞，是机体防御系统的一个重要组成部分。单核细胞来源于骨髓中的造血干细胞，并在骨髓中发育，当它们从骨髓进入血液时仍然是尚未成熟的细胞。单核细胞还参与免疫反应，在吞噬抗原后将所携带的抗原决定簇转交给淋巴细胞，诱导淋巴细胞的特异性免疫性反应。单核细胞也是对付细胞内致病细菌和寄生虫的主要细胞防卫系统，还具有识别和杀伤肿瘤细胞的能力。与其他血细胞比较，单核细胞内含有更多的非特异性酯酶，并且具有更强的吞噬作用。当机体发生炎症或其他疾病都可引起单核细胞总数百分比发生变化，因此检查单核细胞计数成为辅助诊断的一种重要方法。,当单核细胞数量异常时，建议进一步检查以确定病因。,适用于血液检查，辅助诊断感染、血液病等疾病。,单核细胞的数量变化有生理性因素，也有病理性因素。生理性增多多见于婴儿及儿童；病理性增多多见于某些感染（如伤寒、结核、疟疾等）、某些血液病（如单核细胞白血病、淋巴瘤、霍奇金病等）以及急性传染病或急性感染恢复期。单核细胞减少无临床意义，因为单核细胞本身在人体内的含量就很少。
单核细胞百分比,Monocyte percentage,MONO%,血常规,3,8,%,单核细胞百分比是血常规检查中的一项指标，指单核细胞占白细胞总数的比例，正常范围通常为3%-8%。它反映免疫系统状态，异常时可能提示感染、炎症、血液病或自身免疫性疾病，需结合其他指标综合判断。,"不孤立看待数值：需结合白细胞总数、淋巴细胞/中性粒细胞比例及症状判断。例如：1.
单核细胞百分比升高+白细胞总数正常：可能为慢性感染。
单核细胞百分比降低+血小板减少：需排查骨髓疾病。
动态观察：轻微异常可能无病理意义，需在1-2周后复查。2.
特殊人群差异：孕妇、新生儿、剧烈运动后可能出现生理性波动。3.
若检查结果异常，建议在医生指导下完善外周血涂片、骨髓穿刺、病原体检测或影像学检查明确病因。",成人,
单核细胞绝对值,Monocyte count,MONO#,血常规,0.12,0.8,10^9/L,单核细胞绝对值的正常范围因检测方法、人群和生理状态而异，一般为（0.12-0.8）×10^9/L，单核细胞绝对值升高可能与感染、炎症、自身免疫性疾病等有关，但需结合临床症状、其他检查结果和病史进行综合判断。,如果你对自己的单核细胞绝对值或其他血液指标有疑问，建议咨询医生或专业的医疗人员。他们可以根据你的具体情况进行详细的解释和建议，并提供个性化的医疗指导。同时，保持健康的生活方式，如均衡饮食、适量运动、充足睡眠等，有助于维持身体的正常免疫功能。,成人,
单胺氧化酶,Monoamine oxidase,MAO,酶学检测,3,6,U/mL,单胺氧化酶是一种催化单胺氧化脱氨反应的酶。在临床中，其活性增高可能与肝炎、肝硬化等肝脏疾病相关，也可能与甲状腺功能亢进症、系统性硬化症、慢性充血性心力衰竭、糖尿病等肝外疾病有关。活性降低可能见于烧伤、高尿酸血症等情况。,如检测结果异常，建议结合其他肝功能指标和临床表现进行综合评估，必要时进行进一步检查以明确病因。,适用于肝脏疾病、甲状腺功能亢进症、系统性硬化症、慢性充血性心力衰竭、糖尿病等疾病的辅助诊断。,健康成人的单胺氧化酶活性通常在3-6 U/mL（醛苯腙法）范围内。异常结果可能提示肝脏或其他系统的疾病，需结合其他检查结果和临床表现进行判断。
同型半胱氨酸,Homocysteine,Hcy,心血管代谢风险,5,15,μmol/L,"血浆同型半胱氨酸（又称高半胱氨酸，homocysteine, Hcy）是蛋氨酸代谢过程中的中间产物。同型半胱氨酸于1932年由DeVgneaud发现，其结构式为 HSCH2（NH2）CO2H。血浆中存在氧化型和还原型HCY两种形式，氧化型含二硫基，包括同型胱氨酸和胱氨酸;还原型含硫基，包括同型半胱氨酸及半胱氨酸。正常机体存在少量同型半胱氨酸，还原型仅占 2%。",综上所述，同型半胱氨酸作为独立的心血管风险指标已被广泛接受，是高血脂、吸烟、糖尿病之外的又一危险因子。尽管许多有关高同型半胱氨酸血症的生物化学基础有待明确，其检测与各种疾病的关系和治疗检测将需进一步探讨，虽然使用叶酸、VitB12、VitB6后可降低其体内浓度，但并非用于治疗。目前，血浆同型半胱氨酸的测定主要采用HPLC方法，由于时间和价格因素，仅在大医院或检验中心应用。随着临床发展的需要，荧光偏振免疫法测定同型半胱氨酸将迅速发展起来，AXSYM全自动免疫分析仪配套使用的同型半胱氨酸试剂已经通过美国FDA认可，同型半胱氨酸的测定对预防和治疗心血管疾病有重要的临床意义。,成人,
嗜碱性粒细胞,Basophils,BASO,血常规,0,1,%,嗜碱性粒细胞是白细胞的一种，起源于骨髓造血多能干细胞，在骨髓内分化成熟后进入血流。嗜碱性粒细胞数量增多多见于某些过敏性疾病、某些血液病、某些恶性肿瘤以及某些传染病等。,如果嗜碱性粒细胞数量异常增多，建议进一步检查以确定是否存在过敏性疾病、血液病、恶性肿瘤或传染病等。,适用于血液常规检查，用于评估白细胞分类及炎症、过敏等疾病的可能性。,嗜碱性粒细胞在外周血中参考值很低，其数量减少无临床意义。数量增多可能与过敏性疾病、血液病、恶性肿瘤或传染病等有关。
嗜碱性细胞百分比,Basophil percentage,BASO%,血常规,0,1,%,嗜碱性粒细胞百分率一般为0~1％。 嗜碱性粒细胞属于一类白细胞，来源于骨髓造血干细胞，在骨髓中成熟。 进入血液后可以参与体内的一系列炎症反应，例如抵抗外部病原体，还可以参与机体的免疫反应。 嗜碱性粒细胞占正常白细胞总数的百分率为0~1%，该值低于正常范围可能是由细菌或病毒感染、严重炎症、免疫系统异常和过敏反应等原因引起，如果高于正常范围，可能是过敏性疾病、慢性粒细胞白血病、恶性肿瘤等原因引起。,"复查：如果您的嗜碱性粒细胞百分比异常，建议您在一段时间后再进行一次复查，以确认是否为持续性异常。
咨询医生：将您的体检报告带给医生，让医生根据您的整体健康状况和其他检查结果进行综合评估。
生活方式调整：保持良好的生活习惯，注意饮食均衡，避免过度疲劳和压力。",成人,
嗜碱性细胞绝对值,Basophil count,BASO#,血常规,0.02,0.1,10^9/L,健康成年人外周血中嗜碱性粒细胞绝对值一般为（0.02-0.1）×10⁹/L，这一范围是通过大量的临床研究和统计得出的，反映了正常生理状态下人体嗜碱性粒细胞的数量分布。 在这个正常范围内，嗜碱性粒细胞能够正常发挥其生理功能。 嗜碱性粒细胞内含有丰富的生物活性物质，如组胺、肝素、白三烯等。 当身体受到外界刺激，如过敏原入侵时，嗜碱性粒细胞会释放这些物质，参与免疫反应和炎症调节。,发现嗜碱粒细胞轻度升高时，建议记录近期用药史并观察是否有皮肤黏膜出血、骨痛等症状。日常避免接触已知过敏原，保持充足睡眠有助于免疫调节。若数值持续升高或伴随血小板减少等异常，需完善外周血涂片、骨髓活检等检查排除血液系统疾病。饮食上可增加富含维生素B12的鱼类、蛋类，限制高组胺食物如腌制品的摄入。,成人,
嗜酸性粒细胞,Eosinophils,EOS,血常规,0.5,5,%,嗜酸性粒细胞是白细胞的组成部分，与其他粒细胞一样来源于骨髓的造血干细胞。嗜酸性粒细胞具有杀伤细菌、寄生虫的功能，也是免疫反应和过敏反应过程中极为重要的细胞。嗜酸性粒细胞可以释放颗粒中的内容物，引起组织损伤，促进炎症进展。血液中嗜酸性粒细胞的数量表现为昼夜周期性波动。清晨细胞数减少，午夜时细胞数增多。这种细胞数的周期性变化是与肾上腺皮质释放糖皮质激素量的昼夜波动有关的。当血液中皮质激素浓度增高时，嗜酸性粒细胞数减少；而当皮质激素浓度降低时，嗜酸性粒细胞数增加。,如嗜酸性粒细胞数量异常，建议结合临床症状和其他检查结果，进一步排查过敏性疾病、寄生虫感染、皮肤病、血液病、恶性肿瘤等可能病因。,适用于常规血液检查、过敏性疾病筛查、寄生虫感染诊断、皮肤病评估等。,嗜酸性粒细胞在正常范围内表明免疫系统功能正常，能够有效应对细菌、寄生虫感染及参与免疫调节。异常增多或减少可能提示存在过敏反应、寄生虫感染、某些血液病或其他健康问题，需进一步检查明确原因。
嗜酸性细胞百分比,Eosinophil percentage,EOS%,血常规,0.5,5,%,"嗜酸性粒细胞百分比一般是指嗜酸性粒细胞在白细胞总数中所占的比例，这一指标对于评估人体健康状态，尤其是免疫反应和过敏状态，具有意义。

正常情况下，嗜酸性粒细胞百分比维持在0.5%~5%之间。嗜酸性粒细胞是白细胞的一种，具有吞噬和杀伤细菌、寄生虫的功能，同时参与机体的免疫反应和过敏反应。当嗜酸性粒细胞百分比升高时，可能提示机体存在过敏反应，如支气管哮喘、荨麻疹等，或是寄生虫感染，如血吸虫病、蛔虫病等。某些皮肤病如湿疹、银屑病，以及血液病、恶性肿瘤等也可能导致该指标升高。相反，嗜酸性粒细胞百分比降低则可能出现在伤寒、副伤寒初期或是大手术、烧伤等应激状态后，长期使用肾上腺皮质激素也可能导致该指标下降。尽管其临床意义相对较小，但仍需结合其他症状进行综合判断。","1. 复查血常规：

排除一过性升高（如应激、检验误差）。
2. 完善相关检查：
• 寄生虫筛查：粪便虫卵、血清抗体检测。
• 过敏评估：过敏原检测、血IgE水平。
• 影像学：胸部CT（排查肺部病变）、腹部超声（肝脾/肠道异常）。
• 骨髓穿刺：怀疑血液病时进行。
3. 专科就诊：
血液科、风湿免疫科或感染科进一步诊断。",成人,
嗜酸性细胞绝对值,Eosinophil count,EOS#,血常规,0.02,0.5,10^9/L,嗜酸性粒细胞绝对值是血常规检查中的一项指标，指每升血液中嗜酸性粒细胞的具体数量，正常范围通常为0.02-0.5×10⁹/L。它主要用于评估过敏性疾病、寄生虫感染、某些皮肤病或血液系统疾病等。,"轻度升高（0.5-1.5×10⁹/L）：1.
结合症状判断，如无不适可定期复查。
排查过敏原或寄生虫感染。
显著升高（＞1.5×10⁹/L）：2.
需进一步检查，如骨髓穿刺、基因检测、影像学检查等，排除血液病或肿瘤。
降低：3.
通常无需特殊处理，但需排除感染或药物影响。",成人,
妇科检查,Gynecological exam,GynExam,体格检查,无,无,无单位,宫颈糜烂是常见的“过度诊断”，应结合 TCT、HPV 结果判断。,若TCT或HPV异常，建议妇科就诊。,女性,妇科检查有助于发现宫颈病变、感染等异常。
尿γ-谷氨酰转移酶,Urinary gamma-glutamyl transferase,uGGT,尿常规,10,50,U/L,尿液谷氨酰转移酶活性反映肾实质病变，对疑为肾脏疾病患者，肾移植术后可作为肾移植排异的鉴别指标以及评估肾小管损害程度。,若检测结果异常，建议进一步检查以明确肾脏疾病的具体类型和程度。,适用于疑为肾脏疾病患者，肾移植术后排异反应的监测及肾小管损害程度的评估。,正常范围内表示肾脏功能正常，异常增高可能提示急性肾小球肾炎、狼疮肾炎、肾盂肾炎等疾病或肾毒性物质所致的肾损害及肾移植排异反应。
